decil,recall_acumulado
10,0.009695290858725761
9,0.02631578947368421
8,0.06371191135734072
7,0.09418282548476455
6,0.15789473684210525
5,0.2257617728531856
4,0.32409972299168976
3,0.45013850415512463
2,0.6301939058171745
1,1.0
